accX,accY,accZ
3937.0,-1916.0,-1637.0
3936.62,-1871.72,-1636.32
3936.24,-1827.44,-1635.64
3935.86,-1783.16,-1634.96
3935.48,-1738.88,-1634.28
3935.1,-1694.6,-1633.6
3934.72,-1650.32,-1632.92
3934.34,-1606.04,-1632.24
3933.96,-1561.76,-1631.56
3933.58,-1517.48,-1630.88
3933.2,-1473.2,-1630.2
3932.82,-1428.92,-1629.52
3932.44,-1384.6399999999999,-1628.84
3932.06,-1340.3600000000001,-1628.16
3931.68,-1296.08,-1627.48
3931.3,-1251.8,-1626.8
3930.92,-1207.52,-1626.12
3930.54,-1163.24,-1625.44
3930.16,-1118.96,-1624.76
3929.78,-1074.6799999999998,-1624.08
3929.4,-1030.4,-1623.4
3929.02,-986.12,-1622.72
3928.64,-941.8399999999999,-1622.04
3928.26,-897.56,-1621.36
3927.88,-853.28,-1620.68
3927.5,-809.0,-1620.0
3927.12,-764.72,-1619.32
3926.74,-720.44,-1618.64
3926.36,-676.1599999999999,-1617.96
3925.98,-631.8799999999999,-1617.28
3925.6,-587.5999999999999,-1616.6
3925.22,-543.3199999999999,-1615.92
3924.84,-499.03999999999996,-1615.24
3924.46,-454.76,-1614.56
3924.08,-410.48,-1613.88
3923.7,-366.20000000000005,-1613.2
3923.32,-321.9200000000001,-1612.52
3922.94,-277.6399999999999,-1611.84
3922.56,-233.3599999999999,-1611.16
3922.18,-189.07999999999993,-1610.48
3921.8,-144.79999999999995,-1609.8
3921.42,-100.51999999999998,-1609.12
3921.04,-56.24000000000001,-1608.44
3920.66,-11.960000000000036,-1607.76
3920.28,32.320000000000164,-1607.08
3919.9,76.60000000000014,-1606.4
3919.52,120.88000000000011,-1605.72
3919.14,165.15999999999985,-1605.04
3918.76,209.44000000000005,-1604.36
3918.38,253.72000000000025,-1603.68
3918.0,298.0,-1603.0
3918.326530612245,253.85714285714286,-1602.5102040816328
3918.6530612244896,209.71428571428572,-1602.0204081632653
3918.9795918367345,165.57142857142856,-1601.530612244898
3919.3061224489797,121.42857142857142,-1601.0408163265306
3919.6326530612246,77.28571428571428,-1600.5510204081634
3919.9591836734694,33.14285714285711,-1600.061224489796
3920.285714285714,-11.0,-1599.5714285714287
3920.612244897959,-55.14285714285717,-1599.0816326530612
3920.938775510204,-99.28571428571433,-1598.591836734694
3921.265306122449,-143.42857142857144,-1598.1020408163265
3921.591836734694,-187.5714285714286,-1597.6122448979593
3921.918367346939,-231.71428571428578,-1597.1224489795918
3922.2448979591836,-275.8571428571429,-1596.6326530612246
3922.5714285714284,-320.0,-1596.142857142857
3922.8979591836733,-364.1428571428572,-1595.6530612244899
3923.2244897959185,-408.28571428571433,-1595.1632653061224
3923.5510204081634,-452.42857142857144,-1594.6734693877552
3923.877551020408,-496.57142857142867,-1594.1836734693877
3924.204081632653,-540.7142857142858,-1593.6938775510205
3924.530612244898,-584.8571428571429,-1593.204081632653
3924.8571428571427,-629.0000000000001,-1592.7142857142858
3925.183673469388,-673.1428571428572,-1592.2244897959183
3925.5102040816328,-717.2857142857143,-1591.734693877551
3925.8367346938776,-761.4285714285716,-1591.2448979591836
3926.1632653061224,-805.5714285714287,-1590.7551020408164
3926.4897959183672,-849.7142857142858,-1590.265306122449
3926.816326530612,-893.8571428571429,-1589.7755102040817
3927.1428571428573,-938.0,-1589.2857142857142
3927.469387755102,-982.1428571428573,-1588.795918367347
3927.795918367347,-1026.2857142857144,-1588.3061224489795
3928.122448979592,-1070.4285714285716,-1587.8163265306123
3928.4489795918366,-1114.5714285714287,-1587.3265306122448
3928.7755102040815,-1158.7142857142858,-1586.8367346938776
3929.1020408163267,-1202.857142857143,-1586.3469387755101
3929.4285714285716,-1247.0,-1585.857142857143
3929.7551020408164,-1291.1428571428573,-1585.3673469387754
3930.081632653061,-1335.2857142857144,-1584.8775510204082
3930.408163265306,-1379.4285714285716,-1584.3877551020407
3930.734693877551,-1423.5714285714287,-1583.8979591836735
3931.061224489796,-1467.7142857142858,-1583.408163265306
3931.387755102041,-1511.857142857143,-1582.9183673469388
3931.714285714286,-1556.0000000000002,-1582.4285714285713
