accX,accY,accZ
1949.0,-1809.0,-1627.0
1948.621212121212,-1809.560606060606,-1626.878787878788
1948.2424242424242,-1810.121212121212,-1626.7575757575758
1947.8636363636363,-1810.6818181818182,-1626.6363636363637
1947.4848484848485,-1811.2424242424242,-1626.5151515151515
1947.1060606060605,-1811.8030303030303,-1626.3939393939395
1946.7272727272727,-1812.3636363636363,-1626.2727272727273
1946.3484848484848,-1812.9242424242425,-1626.1515151515152
1945.969696969697,-1813.4848484848485,-1626.030303030303
1945.590909090909,-1814.0454545454545,-1625.909090909091
1945.2121212121212,-1814.6060606060605,-1625.7878787878788
1944.8333333333333,-1815.1666666666667,-1625.6666666666667
1944.4545454545455,-1815.7272727272727,-1625.5454545454545
1944.0757575757575,-1816.2878787878788,-1625.4242424242425
1943.6969696969697,-1816.8484848484848,-1625.3030303030303
1943.3181818181818,-1817.409090909091,-1625.1818181818182
1942.939393939394,-1817.969696969697,-1625.060606060606
1942.560606060606,-1818.530303030303,-1624.939393939394
1942.1818181818182,-1819.090909090909,-1624.8181818181818
1941.8030303030303,-1819.6515151515152,-1624.6969696969697
1941.4242424242425,-1820.2121212121212,-1624.5757575757575
1941.0454545454545,-1820.7727272727273,-1624.4545454545455
1940.6666666666667,-1821.3333333333333,-1624.3333333333333
1940.2878787878788,-1821.8939393939395,-1624.2121212121212
1939.909090909091,-1822.4545454545455,-1624.090909090909
1939.530303030303,-1823.0151515151515,-1623.969696969697
1939.1515151515152,-1823.5757575757575,-1623.8484848484848
1938.7727272727273,-1824.1363636363637,-1623.7272727272727
1938.3939393939395,-1824.6969696969697,-1623.6060606060605
1938.0151515151515,-1825.2575757575758,-1623.4848484848485
1937.6363636363637,-1825.8181818181818,-1623.3636363636363
1937.2575757575758,-1826.378787878788,-1623.2424242424242
1936.878787878788,-1826.939393939394,-1623.121212121212
1936.5,-1827.5,-1623.0
1936.121212121212,-1828.060606060606,-1622.878787878788
1935.7424242424242,-1828.621212121212,-1622.7575757575758
