accX,accY,accZ
3936.0,-1822.0,-1660.0
3889.1162790697676,-1822.8139534883721,-1659.7906976744187
3842.232558139535,-1823.6279069767443,-1659.5813953488373
3795.3488372093025,-1824.4418604651162,-1659.3720930232557
3748.4651162790697,-1825.2558139534883,-1659.1627906976744
3701.5813953488373,-1826.0697674418604,-1658.953488372093
3654.6976744186045,-1826.8837209302326,-1658.7441860465117
3607.813953488372,-1827.6976744186047,-1658.5348837209303
3560.9302325581393,-1828.5116279069769,-1658.3255813953488
3514.046511627907,-1829.3255813953488,-1658.1162790697674
3467.1627906976746,-1830.139534883721,-1657.906976744186
3420.279069767442,-1830.953488372093,-1657.6976744186047
3373.3953488372094,-1831.7674418604652,-1657.4883720930231
3326.5116279069766,-1832.5813953488373,-1657.2790697674418
3279.6279069767443,-1833.3953488372092,-1657.0697674418604
3232.7441860465115,-1834.2093023255813,-1656.860465116279
3185.860465116279,-1835.0232558139535,-1656.6511627906978
3138.9767441860467,-1835.8372093023256,-1656.4418604651162
3092.093023255814,-1836.6511627906978,-1656.2325581395348
3045.2093023255816,-1837.4651162790697,-1656.0232558139535
2998.3255813953488,-1838.2790697674418,-1655.8139534883721
2951.4418604651164,-1839.093023255814,-1655.6046511627908
2904.5581395348836,-1839.906976744186,-1655.3953488372092
2857.6744186046512,-1840.7209302325582,-1655.1860465116279
2810.790697674419,-1841.5348837209303,-1654.9767441860465
2763.906976744186,-1842.3488372093022,-1654.7674418604652
2717.0232558139533,-1843.1627906976744,-1654.5581395348838
2670.139534883721,-1843.9767441860465,-1654.3488372093022
2623.2558139534885,-1844.7906976744187,-1654.139534883721
2576.3720930232557,-1845.6046511627908,-1653.9302325581396
2529.4883720930234,-1846.4186046511627,-1653.7209302325582
2482.604651162791,-1847.2325581395348,-1653.5116279069769
2435.720930232558,-1848.046511627907,-1653.3023255813953
2388.8372093023254,-1848.860465116279,-1653.093023255814
2341.953488372093,-1849.6744186046512,-1652.8837209302326
2295.0697674418607,-1850.4883720930231,-1652.6744186046512
2248.186046511628,-1851.3023255813953,-1652.4651162790697
2201.3023255813955,-1852.1162790697674,-1652.2558139534883
2154.418604651163,-1852.9302325581396,-1652.046511627907
2107.5348837209303,-1853.7441860465117,-1651.8372093023256
2060.6511627906975,-1854.5581395348838,-1651.6279069767443
2013.7674418604652,-1855.3720930232557,-1651.4186046511627
1966.8837209302326,-1856.1860465116279,-1651.2093023255813
1920.0,-1857.0,-1651.0
1920.25,-1856.5,-1649.6363636363637
1920.5,-1856.0,-1648.2727272727273
1920.75,-1855.5,-1646.909090909091
1921.0,-1855.0,-1645.5454545454545
1921.25,-1854.5,-1644.1818181818182
1921.5,-1854.0,-1642.8181818181818
1921.75,-1853.5,-1641.4545454545455
1922.0,-1853.0,-1640.090909090909
1922.25,-1852.5,-1638.7272727272727
1922.5,-1852.0,-1637.3636363636363
1922.75,-1851.5,-1636.0
1923.0,-1851.0,-1634.6363636363637
1923.25,-1850.5,-1633.2727272727273
1923.5,-1850.0,-1631.909090909091
1923.75,-1849.5,-1630.5454545454545
1924.0,-1849.0,-1629.1818181818182
1924.25,-1848.5,-1627.8181818181818
1924.5,-1848.0,-1626.4545454545455
1924.75,-1847.5,-1625.090909090909
1925.0,-1847.0,-1623.7272727272727
1925.25,-1846.5,-1622.3636363636363
1925.5,-1846.0,-1621.0
1925.75,-1845.5,-1619.6363636363637
1926.0,-1845.0,-1618.2727272727273
1926.25,-1844.5,-1616.909090909091
1926.5,-1844.0,-1615.5454545454545
1926.75,-1843.5,-1614.1818181818182
1927.0,-1843.0,-1612.8181818181818
1927.25,-1842.5,-1611.4545454545455
1927.5,-1842.0,-1610.090909090909
1927.75,-1841.5,-1608.7272727272727
