accX,accY,accZ
2011.0,113.0,-1594.0
2010.5777777777778,68.77777777777777,-1594.8
2010.1555555555556,24.555555555555557,-1595.6
2009.7333333333333,-19.666666666666657,-1596.4
2009.3111111111111,-63.888888888888886,-1597.2
2008.888888888889,-108.11111111111111,-1598.0
2008.4666666666667,-152.33333333333331,-1598.8
2008.0444444444445,-196.55555555555554,-1599.6
2007.6222222222223,-240.77777777777777,-1600.4
2007.2,-285.0,-1601.2
2006.7777777777778,-329.22222222222223,-1602.0
2006.3555555555556,-373.44444444444446,-1602.8
2005.9333333333334,-417.66666666666663,-1603.6
2005.5111111111112,-461.8888888888889,-1604.4
2005.088888888889,-506.1111111111111,-1605.2
2004.6666666666667,-550.3333333333334,-1606.0
2004.2444444444445,-594.5555555555555,-1606.8
2003.8222222222223,-638.7777777777777,-1607.6
2003.4,-683.0,-1608.4
2002.9777777777779,-727.2222222222222,-1609.2
2002.5555555555557,-771.4444444444445,-1610.0
2002.1333333333334,-815.6666666666666,-1610.8
2001.7111111111112,-859.8888888888889,-1611.6
2001.2888888888888,-904.1111111111111,-1612.4
2000.8666666666666,-948.3333333333333,-1613.2
2000.4444444444443,-992.5555555555554,-1614.0
2000.0222222222221,-1036.7777777777778,-1614.8
1999.6,-1081.0,-1615.6
1999.1777777777777,-1125.2222222222222,-1616.4
1998.7555555555555,-1169.4444444444443,-1617.2
1998.3333333333333,-1213.6666666666667,-1618.0
1997.911111111111,-1257.888888888889,-1618.8
1997.4888888888888,-1302.111111111111,-1619.6
1997.0666666666666,-1346.3333333333333,-1620.4
1996.6444444444444,-1390.5555555555554,-1621.2
1996.2222222222222,-1434.7777777777778,-1622.0
1995.8,-1479.0,-1622.8
1995.3777777777777,-1523.2222222222222,-1623.6
1994.9555555555555,-1567.4444444444443,-1624.4
1994.5333333333333,-1611.6666666666667,-1625.2
1994.111111111111,-1655.888888888889,-1626.0
1993.6888888888889,-1700.111111111111,-1626.8
1993.2666666666667,-1744.3333333333333,-1627.6
1992.8444444444444,-1788.5555555555554,-1628.4
1992.4222222222222,-1832.7777777777778,-1629.2
1992.0,-1877.0,-1630.0
1992.9074074074074,-1877.0740740740741,-1630.1296296296296
1993.8148148148148,-1877.148148148148,-1630.2592592592594
1994.7222222222222,-1877.2222222222222,-1630.388888888889
1995.6296296296296,-1877.2962962962963,-1630.5185185185185
1996.537037037037,-1877.3703703703704,-1630.648148148148
1997.4444444444443,-1877.4444444444443,-1630.7777777777778
1998.351851851852,-1877.5185185185185,-1630.9074074074074
1999.2592592592594,-1877.5925925925926,-1631.037037037037
2000.1666666666667,-1877.6666666666667,-1631.1666666666667
2001.0740740740741,-1877.7407407407406,-1631.2962962962963
2001.9814814814815,-1877.8148148148148,-1631.4259259259259
2002.888888888889,-1877.888888888889,-1631.5555555555557
2003.7962962962963,-1877.962962962963,-1631.6851851851852
2004.7037037037037,-1878.037037037037,-1631.8148148148148
2005.611111111111,-1878.111111111111,-1631.9444444444443
2006.5185185185185,-1878.1851851851852,-1632.0740740740741
2007.4259259259259,-1878.2592592592594,-1632.2037037037037
2008.3333333333333,-1878.3333333333333,-1632.3333333333333
2009.2407407407406,-1878.4074074074074,-1632.462962962963
2010.148148148148,-1878.4814814814815,-1632.5925925925926
2011.0555555555557,-1878.5555555555557,-1632.7222222222222
2011.962962962963,-1878.6296296296296,-1632.851851851852
2012.8703703703704,-1878.7037037037037,-1632.9814814814815
2013.7777777777778,-1878.7777777777778,-1633.111111111111
2014.6851851851852,-1878.851851851852,-1633.2407407407406
2015.5925925925926,-1878.9259259259259,-1633.3703703703704
2016.5,-1879.0,-1633.5
2017.4074074074074,-1879.0740740740741,-1633.6296296296296
2018.3148148148148,-1879.148148148148,-1633.7592592592594
2019.2222222222222,-1879.2222222222222,-1633.888888888889
2020.1296296296296,-1879.2962962962963,-1634.0185185185185
2021.037037037037,-1879.3703703703704,-1634.148148148148
2021.9444444444443,-1879.4444444444443,-1634.2777777777778
2022.851851851852,-1879.5185185185185,-1634.4074074074074
2023.7592592592594,-1879.5925925925926,-1634.537037037037
2024.6666666666667,-1879.6666666666667,-1634.6666666666667
2025.5740740740741,-1879.7407407407406,-1634.7962962962963
2026.4814814814815,-1879.8148148148148,-1634.9259259259259
2027.388888888889,-1879.888888888889,-1635.0555555555557
2028.2962962962963,-1879.962962962963,-1635.1851851851852
2029.2037037037037,-1880.037037037037,-1635.3148148148148
2030.111111111111,-1880.111111111111,-1635.4444444444443
2031.0185185185185,-1880.1851851851852,-1635.5740740740741
2031.9259259259259,-1880.2592592592594,-1635.7037037037037
2032.8333333333333,-1880.3333333333333,-1635.8333333333333
2033.7407407407406,-1880.4074074074074,-1635.962962962963
2034.6481481481483,-1880.4814814814815,-1636.0925925925926
2035.5555555555557,-1880.5555555555557,-1636.2222222222222
2036.462962962963,-1880.6296296296296,-1636.351851851852
2037.3703703703704,-1880.7037037037037,-1636.4814814814815
2038.2777777777778,-1880.7777777777778,-1636.611111111111
2039.1851851851852,-1880.851851851852,-1636.7407407407406
2040.0925925925926,-1880.9259259259259,-1636.8703703703704
2041.0,-1881.0,-1637.0
2040.734375,-1880.7604166666667,-1636.96875
2040.46875,-1880.5208333333333,-1636.9375
2040.203125,-1880.28125,-1636.90625
2039.9375,-1880.0416666666667,-1636.875
2039.671875,-1879.8020833333333,-1636.84375
2039.40625,-1879.5625,-1636.8125
2039.140625,-1879.3229166666667,-1636.78125
2038.875,-1879.0833333333333,-1636.75
2038.609375,-1878.84375,-1636.71875
2038.34375,-1878.6041666666667,-1636.6875
2038.078125,-1878.3645833333333,-1636.65625
2037.8125,-1878.125,-1636.625
2037.546875,-1877.8854166666667,-1636.59375
2037.28125,-1877.6458333333333,-1636.5625
2037.015625,-1877.40625,-1636.53125
2036.75,-1877.1666666666667,-1636.5
2036.484375,-1876.9270833333333,-1636.46875
2036.21875,-1876.6875,-1636.4375
2035.953125,-1876.4479166666667,-1636.40625
2035.6875,-1876.2083333333333,-1636.375
2035.421875,-1875.96875,-1636.34375
2035.15625,-1875.7291666666667,-1636.3125
2034.890625,-1875.4895833333333,-1636.28125
2034.625,-1875.25,-1636.25
2034.359375,-1875.0104166666667,-1636.21875
2034.09375,-1874.7708333333333,-1636.1875
2033.828125,-1874.53125,-1636.15625
2033.5625,-1874.2916666666667,-1636.125
2033.296875,-1874.0520833333333,-1636.09375
2033.03125,-1873.8125,-1636.0625
2032.765625,-1873.5729166666667,-1636.03125
2032.5,-1873.3333333333333,-1636.0
2032.234375,-1873.09375,-1635.96875
2031.96875,-1872.8541666666667,-1635.9375
2031.703125,-1872.6145833333333,-1635.90625
2031.4375,-1872.375,-1635.875
2031.171875,-1872.1354166666667,-1635.84375
2030.90625,-1871.8958333333333,-1635.8125
2030.640625,-1871.65625,-1635.78125
2030.375,-1871.4166666666667,-1635.75
2030.109375,-1871.1770833333333,-1635.71875
2029.84375,-1870.9375,-1635.6875
2029.578125,-1870.6979166666667,-1635.65625
2029.3125,-1870.4583333333333,-1635.625
2029.046875,-1870.21875,-1635.59375
2028.78125,-1869.9791666666667,-1635.5625
2028.515625,-1869.7395833333333,-1635.53125
2028.25,-1869.5,-1635.5
2027.984375,-1869.2604166666667,-1635.46875
2027.71875,-1869.0208333333333,-1635.4375
2027.453125,-1868.78125,-1635.40625
2027.1875,-1868.5416666666667,-1635.375
2026.921875,-1868.3020833333333,-1635.34375
2026.65625,-1868.0625,-1635.3125
2026.390625,-1867.8229166666667,-1635.28125
2026.125,-1867.5833333333333,-1635.25
2025.859375,-1867.34375,-1635.21875
2025.59375,-1867.1041666666667,-1635.1875
2025.328125,-1866.8645833333333,-1635.15625
2025.0625,-1866.625,-1635.125
2024.796875,-1866.3854166666667,-1635.09375
2024.53125,-1866.1458333333333,-1635.0625
2024.265625,-1865.90625,-1635.03125
2024.0,-1865.6666666666667,-1635.0
2023.734375,-1865.4270833333333,-1634.96875
2023.46875,-1865.1875,-1634.9375
2023.203125,-1864.9479166666667,-1634.90625
2022.9375,-1864.7083333333333,-1634.875
2022.671875,-1864.46875,-1634.84375
2022.40625,-1864.2291666666667,-1634.8125
2022.140625,-1863.9895833333333,-1634.78125
2021.875,-1863.75,-1634.75
2021.609375,-1863.5104166666667,-1634.71875
2021.34375,-1863.2708333333333,-1634.6875
2021.078125,-1863.03125,-1634.65625
2020.8125,-1862.7916666666667,-1634.625
2020.546875,-1862.5520833333333,-1634.59375
2020.28125,-1862.3125,-1634.5625
2020.015625,-1862.0729166666667,-1634.53125
2019.75,-1861.8333333333333,-1634.5
2019.484375,-1861.59375,-1634.46875
2019.21875,-1861.3541666666667,-1634.4375
2018.953125,-1861.1145833333333,-1634.40625
2018.6875,-1860.875,-1634.375
2018.421875,-1860.6354166666667,-1634.34375
2018.15625,-1860.3958333333333,-1634.3125
2017.890625,-1860.15625,-1634.28125
2017.625,-1859.9166666666667,-1634.25
2017.359375,-1859.6770833333333,-1634.21875
2017.09375,-1859.4375,-1634.1875
2016.828125,-1859.1979166666667,-1634.15625
2016.5625,-1858.9583333333333,-1634.125
2016.296875,-1858.71875,-1634.09375
2016.03125,-1858.4791666666667,-1634.0625
2015.765625,-1858.2395833333333,-1634.03125
2015.5,-1858.0,-1634.0
1979.3240740740741,-1858.6851851851852,-1633.648148148148
1943.1481481481483,-1859.3703703703704,-1633.2962962962963
1906.9722222222222,-1860.0555555555557,-1632.9444444444443
1870.7962962962963,-1860.7407407407406,-1632.5925925925926
1834.6203703703704,-1861.4259259259259,-1632.2407407407406
1798.4444444444443,-1862.111111111111,-1631.888888888889
1762.2685185185185,-1862.7962962962963,-1631.537037037037
1726.0925925925926,-1863.4814814814815,-1631.1851851851852
1689.9166666666667,-1864.1666666666667,-1630.8333333333333
1653.7407407407409,-1864.851851851852,-1630.4814814814815
1617.5648148148148,-1865.537037037037,-1630.1296296296296
1581.388888888889,-1866.2222222222222,-1629.7777777777778
1545.212962962963,-1866.9074074074074,-1629.4259259259259
1509.037037037037,-1867.5925925925926,-1629.0740740740741
1472.861111111111,-1868.2777777777778,-1628.7222222222222
1436.6851851851852,-1868.962962962963,-1628.3703703703704
1400.5092592592594,-1869.648148148148,-1628.0185185185185
1364.3333333333335,-1870.3333333333333,-1627.6666666666667
1328.1574074074074,-1871.0185185185185,-1627.3148148148148
1291.9814814814815,-1871.7037037037037,-1626.962962962963
1255.8055555555557,-1872.388888888889,-1626.611111111111
1219.6296296296296,-1873.0740740740741,-1626.2592592592594
1183.4537037037037,-1873.7592592592594,-1625.9074074074074
1147.2777777777778,-1874.4444444444443,-1625.5555555555557
1111.101851851852,-1875.1296296296296,-1625.2037037037037
1074.925925925926,-1875.8148148148148,-1624.851851851852
1038.75,-1876.5,-1624.5
1002.5740740740741,-1877.1851851851852,-1624.148148148148
966.3981481481483,-1877.8703703703704,-1623.7962962962963
930.2222222222222,-1878.5555555555557,-1623.4444444444443
894.0462962962963,-1879.2407407407406,-1623.0925925925926
857.8703703703704,-1879.9259259259259,-1622.7407407407406
821.6944444444446,-1880.611111111111,-1622.388888888889
785.5185185185187,-1881.2962962962963,-1622.037037037037
749.3425925925926,-1881.9814814814815,-1621.6851851851852
713.1666666666667,-1882.6666666666667,-1621.3333333333333
676.9907407407409,-1883.351851851852,-1620.9814814814815
640.8148148148148,-1884.037037037037,-1620.6296296296296
604.6388888888889,-1884.7222222222222,-1620.2777777777778
568.462962962963,-1885.4074074074074,-1619.9259259259259
532.2870370370372,-1886.0925925925926,-1619.5740740740741
496.1111111111113,-1886.7777777777778,-1619.2222222222222
459.9351851851852,-1887.462962962963,-1618.8703703703704
423.75925925925935,-1888.148148148148,-1618.5185185185185
387.5833333333335,-1888.8333333333333,-1618.1666666666667
351.4074074074074,-1889.5185185185185,-1617.8148148148148
